timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775468320084,3,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 2 - 50 Users 4-2,text,true,,620,120,1,4,http://localhost/opencart,3,0,1
1775468320087,198,HTTP Request-1,200,OK,Load Test-Scenario 2 - 50 Users 4-2,text,true,,34051,121,1,4,http://localhost/opencart/,196,0,0
1775468320132,172,HTTP Request,200,OK,Smoke Test - 2 Users 1-2,text,true,,34671,241,1,4,http://localhost/opencart/,1,0,1
1775468320132,1,HTTP Request-0,301,Moved Permanently,Smoke Test - 2 Users 1-2,text,true,,620,120,1,4,http://localhost/opencart,1,0,1
1775468320134,170,HTTP Request-1,200,OK,Smoke Test - 2 Users 1-2,text,true,,34051,121,1,4,http://localhost/opencart/,167,0,0
1775468320204,152,HTTP Request,200,OK,Stress Test - 500 Users 6-5,text,true,,34671,241,2,4,http://localhost/opencart/,2,0,1
1775468320204,2,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-5,text,true,,620,120,2,4,http://localhost/opencart,2,0,1
1775468320206,150,HTTP Request-1,200,OK,Stress Test - 500 Users 6-5,text,true,,34051,121,2,4,http://localhost/opencart/,148,0,0
1775468320233,138,HTTP Request,200,OK,Stress Test - 200 Users 2-4,text,true,,34671,241,1,3,http://localhost/opencart/,1,0,0
1775468320233,1,HTTP Request-0,301,Moved Permanently,Stress Test - 200 Users 2-4,text,true,,620,120,1,3,http://localhost/opencart,1,0,0
1775468320234,137,HTTP Request-1,200,OK,Stress Test - 200 Users 2-4,text,true,,34051,121,1,3,http://localhost/opencart/,135,0,0
1775468320302,130,HTTP Request,200,OK,Load Test-Scenario 3 - 100 Users 5-3,text,true,,34671,241,1,3,http://localhost/opencart/,1,0,0
1775468320302,1,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 3 - 100 Users 5-3,text,true,,620,120,1,3,http://localhost/opencart,1,0,0
1775468320303,129,HTTP Request-1,200,OK,Load Test-Scenario 3 - 100 Users 5-3,text,true,,34051,121,1,3,http://localhost/opencart/,127,0,0
1775468320324,126,HTTP Request,200,OK,Stress Test - 500 Users 6-6,text,true,,34671,241,2,3,http://localhost/opencart/,1,0,0
1775468320324,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-6,text,true,,620,120,2,3,http://localhost/opencart,1,0,0
1775468320325,125,HTTP Request-1,200,OK,Stress Test - 500 Users 6-6,text,true,,34051,121,2,3,http://localhost/opencart/,122,0,0
1775468320432,122,HTTP Request,200,OK,Stress Test - 200 Users 2-5,text,true,,34671,241,1,3,http://localhost/opencart/,1,0,0
1775468320432,1,HTTP Request-0,301,Moved Permanently,Stress Test - 200 Users 2-5,text,true,,620,120,1,3,http://localhost/opencart,1,0,0
1775468320433,121,HTTP Request-1,200,OK,Stress Test - 200 Users 2-5,text,true,,34051,121,1,3,http://localhost/opencart/,120,0,0
1775468320444,119,HTTP Request,200,OK,Stress Test - 500 Users 6-7,text,true,,34671,241,2,3,http://localhost/opencart/,1,0,0
1775468320444,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-7,text,true,,620,120,2,3,http://localhost/opencart,1,0,0
1775468320445,118,HTTP Request-1,200,OK,Stress Test - 500 Users 6-7,text,true,,34051,121,2,3,http://localhost/opencart/,116,0,0
1775468320482,97,HTTP Request,200,OK,Load Test-Scenario 2 - 50 Users 4-3,text,true,,34671,241,1,2,http://localhost/opencart/,1,0,1
1775468320482,1,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 2 - 50 Users 4-3,text,true,,620,120,1,2,http://localhost/opencart,1,0,1
